SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"GODREJPROP","2,125.00","2,134.00","2,096.10","2,110.90","2,101.10","-","-9.8","-0.46","585747","123.95","2,352.00","1,434.00","7.46","0.13"
"KFINTECH","943.10","956.30","933.60","940.50","936.00","-","-4.5","-0.48","632767","59.88","1,215.00","784.95","6.38","-13.39"
"AMBUJACEM","435.20","438.95","430.25","434.20","432.00","-","-2.2","-0.51","1202393","52.09","624.80","394.00","3.19","-27.08"
"HCLTECH","1,317.70","1,356.50","1,294.30","1,352.70","1,345.70","-","-7","-0.52","3369019","451.49","1,780.10","1,030.00","30.24","-8.24"
"APOLLOHOSP","9,025.00","9,036.50","8,931.00","8,988.00","8,941.00","-","-47","-0.52","268253","240.54","9,036.50","6,696.50","3.93","19.46"
"POWERGRID","286.30","287.40","283.00","285.70","284.20","-","-1.5","-0.53","7804310","221.75","324.95","250.00","-1.15","-2.32"
"GODREJCP","1,071.20","1,076.30","1,054.70","1,072.10","1,066.20","-","-5.9","-0.55","674686","72.04","1,309.00","967.05","2.57","-14.98"
"RECLTD","372.60","374.00","370.00","374.90","372.85","-","2.2","0.59","3604289","134.19","403.60","304.05","0.77","-5.63"
"FORTIS","948.05","953.60","940.70","948.85","943.40","-","-5.45","-0.57","676906","63.97","1,104.30","766.80","-0.43","10.21"
"PGEL","615.00","627.45","608.00","613.00","609.40","-","-3.6","-0.59","1858933","115.15","823.50","436.55","11.36","-24.43"
"360ONE","1,140.00","1,166.00","1,132.00","1,142.90","1,136.00","-","-6.9","-0.6","1168016","133.82","1,236.20","906.05","6.51","7.85"
"ABB","7,350.50","7,485.00","7,201.50","7,291.50","7,244.00","-","-47.5","-0.65","348950","258.07","7,924.50","4,637.50","5.01","32.21"
"ICICIGI","1,636.00","1,644.50","1,618.60","1,637.90","1,627.00","-","-10.9","-0.67","471503","76.77","2,064.90","1,544.60","-7.62","-15.74"
"COALINDIA","413.00","415.10","410.15","417.20","414.40","-","2.7","0.66","5938134","245.48","491.25","368.65","-4.74","10.04"
"PATANJALI","357.45","360.65","353.15","356.35","353.90","-","-2.45","-0.69","2716085","96.89","638.93","328.20","-14.18","-81.07"
"SUNPHARMA","2,016.40","2,046.90","1,965.30","2,001.10","1,987.00","-","-14.1","-0.7","4954449","992.79","2,046.90","1,548.00","6.66","16.63"
"MPHASIS","2,324.60","2,351.80","2,222.30","2,346.70","2,330.00","-","-16.7","-0.71","568913","131.85","3,037.20","2,013.00","10.13","-16.05"
